ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042110	T cell activation	332	0.3993920783737199	1.7212585878633329	3.6174339026965336e-8	5.3248627047692974e-5	4.4741945638615025e-5	2565	tags=38%, list=26%, signal=29%	ENSG00000010810/ENSG00000005844/ENSG00000010610/ENSG00000135870/ENSG00000139842/ENSG00000100393/ENSG00000179388/ENSG00000108946/ENSG00000162434/ENSG00000103653/ENSG00000134352/ENSG00000171793/ENSG00000171316/ENSG00000105329/ENSG00000135426/ENSG00000198286/ENSG00000117280/ENSG00000026508/ENSG00000083799/ENSG00000081059/ENSG00000100219/ENSG00000097007/ENSG00000087088/ENSG00000173473/ENSG00000135046/ENSG00000120738/ENSG00000144802/ENSG00000136536/ENSG00000144840/ENSG00000116824/ENSG00000107099/ENSG00000107738/ENSG00000112576/ENSG00000223865/ENSG00000168685/ENSG00000149273/ENSG00000127616/ENSG00000135144/ENSG00000132589/ENSG00000126804/ENSG00000072736/ENSG00000077238/ENSG00000116251/ENSG00000069974/ENSG00000100105/ENSG00000105810/ENSG00000197329/ENSG00000171608/ENSG00000136167/ENSG00000163512/ENSG00000128340/ENSG00000107338/ENSG00000179588/ENSG00000179295/ENSG00000197471/ENSG00000198793/ENSG00000138795/ENSG00000122188/ENSG00000160685/ENSG00000157764/ENSG00000019582/ENSG00000182866/ENSG00000080503/ENSG00000144381/ENSG00000025770/ENSG00000198435/ENSG00000141867/ENSG00000172216/ENSG00000160593/ENSG00000198851/ENSG00000099956/ENSG00000147065/ENSG00000107485/ENSG00000028137/ENSG00000138378/ENSG00000127152/ENSG00000167664/ENSG00000253729/ENSG00000171522/ENSG00000112679/ENSG00000172845/ENSG00000141510/ENSG00000244038/ENSG00000106003/ENSG00000211751/ENSG00000177697/ENSG00000148180/ENSG00000163599/ENSG00000198876/ENSG00000168071/ENSG00000151651/ENSG00000120694/ENSG00000073861/ENSG00000163939/ENSG00000166710/ENSG00000138814/ENSG00000137154/ENSG00000134460/ENSG00000152495/ENSG00000128917/ENSG00000105851/ENSG00000198805/ENSG00000110848/ENSG00000026950/ENSG00000166949/ENSG00000111913/ENSG00000165819/ENSG00000143772/ENSG00000137078/ENSG00000162736/ENSG00000064012/ENSG00000204592/ENSG00000077420/ENSG00000067955/ENSG00000145675/ENSG00000139514/ENSG00000175354/ENSG00000172840/ENSG00000141968/ENSG00000134516/ENSG00000020633/ENSG00000204520/ENSG00000102034/ENSG00000211772/ENSG00000127951/ENSG00000100485/ENSG00000171791
GO:0046649	lymphocyte activation	455	0.3789951637420879	1.6569415793092273	3.283981738692388e-8	5.3248627047692974e-5	4.4741945638615025e-5	2612	tags=37%, list=26%, signal=29%	ENSG00000010810/ENSG00000135334/ENSG00000005844/ENSG00000010610/ENSG00000135870/ENSG00000166501/ENSG00000139842/ENSG00000100393/ENSG00000179388/ENSG00000108946/ENSG00000162434/ENSG00000103653/ENSG00000118503/ENSG00000134352/ENSG00000171793/ENSG00000183918/ENSG00000171316/ENSG00000105329/ENSG00000135426/ENSG00000134250/ENSG00000198286/ENSG00000100811/ENSG00000117280/ENSG00000026508/ENSG00000083799/ENSG00000081059/ENSG00000147251/ENSG00000008513/ENSG00000100219/ENSG00000097007/ENSG00000087088/ENSG00000173473/ENSG00000135046/ENSG00000120738/ENSG00000144802/ENSG00000136536/ENSG00000144840/ENSG00000185129/ENSG00000115232/ENSG00000116824/ENSG00000107099/ENSG00000107738/ENSG00000112576/ENSG00000176208/ENSG00000223865/ENSG00000168685/ENSG00000149273/ENSG00000127616/ENSG00000135144/ENSG00000132589/ENSG00000126804/ENSG00000072736/ENSG00000077238/ENSG00000116251/ENSG00000183624/ENSG00000069974/ENSG00000100105/ENSG00000196419/ENSG00000166747/ENSG00000185811/ENSG00000105810/ENSG00000197329/ENSG00000171608/ENSG00000136167/ENSG00000163512/ENSG00000128340/ENSG00000107338/ENSG00000215021/ENSG00000133247/ENSG00000179588/ENSG00000067082/ENSG00000179295/ENSG00000197976/ENSG00000117450/ENSG00000197471/ENSG00000198793/ENSG00000138795/ENSG00000122188/ENSG00000160685/ENSG00000157764/ENSG00000019582/ENSG00000168264/ENSG00000152457/ENSG00000123143/ENSG00000136802/ENSG00000182866/ENSG00000080503/ENSG00000144381/ENSG00000108840/ENSG00000025770/ENSG00000198435/ENSG00000141867/ENSG00000172216/ENSG00000160593/ENSG00000198851/ENSG00000099956/ENSG00000147065/ENSG00000107485/ENSG00000168884/ENSG00000028137/ENSG00000138378/ENSG00000134215/ENSG00000127152/ENSG00000167664/ENSG00000112130/ENSG00000253729/ENSG00000171522/ENSG00000112679/ENSG00000172845/ENSG00000141510/ENSG00000244038/ENSG00000106003/ENSG00000211751/ENSG00000177697/ENSG00000148180/ENSG00000163599/ENSG00000198876/ENSG00000168071/ENSG00000151651/ENSG00000078596/ENSG00000120694/ENSG00000130775/ENSG00000073861/ENSG00000178035/ENSG00000163939/ENSG00000166710/ENSG00000138814/ENSG00000137154/ENSG00000134460/ENSG00000152495/ENSG00000128917/ENSG00000105851/ENSG00000198805/ENSG00000110848/ENSG00000026950/ENSG00000111981/ENSG00000005020/ENSG00000166949/ENSG00000110066/ENSG00000111913/ENSG00000165819/ENSG00000143772/ENSG00000137078/ENSG00000133789/ENSG00000162736/ENSG00000064012/ENSG00000116670/ENSG00000196950/ENSG00000204592/ENSG00000077420/ENSG00000067955/ENSG00000145675/ENSG00000139514/ENSG00000175354/ENSG00000172840/ENSG00000141968/ENSG00000134516/ENSG00000020633/ENSG00000204520/ENSG00000181852/ENSG00000102034/ENSG00000211772/ENSG00000127951/ENSG00000100485/ENSG00000171791/ENSG00000104164/ENSG00000208009/ENSG00000122376
GO:0045087	innate immune response	466	0.3791066885285014	1.654994170492395	2.8694151719503853e-8	5.3248627047692974e-5	4.4741945638615025e-5	2706	tags=36%, list=27%, signal=28%	ENSG00000010810/ENSG00000121390/ENSG00000135334/ENSG00000005339/ENSG00000172183/ENSG00000100393/ENSG00000004139/ENSG00000160710/ENSG00000124635/ENSG00000049245/ENSG00000116266/ENSG00000162434/ENSG00000145782/ENSG00000169871/ENSG00000118503/ENSG00000124201/ENSG00000239306/ENSG00000171206/ENSG00000183918/ENSG00000105329/ENSG00000164924/ENSG00000077150/ENSG00000145907/ENSG00000197111/ENSG00000026297/ENSG00000185728/ENSG00000108953/ENSG00000184584/ENSG00000105483/ENSG00000083799/ENSG00000130726/ENSG00000188229/ENSG00000197903/ENSG00000135046/ENSG00000144802/ENSG00000067066/ENSG00000205413/ENSG00000164300/ENSG00000026025/ENSG00000141480/ENSG00000196843/ENSG00000101695/ENSG00000116824/ENSG00000121060/ENSG00000170542/ENSG00000115415/ENSG00000165732/ENSG00000109606/ENSG00000051523/ENSG00000131979/ENSG00000126804/ENSG00000203879/ENSG00000136560/ENSG00000180596/ENSG00000069974/ENSG00000162032/ENSG00000196419/ENSG00000166747/ENSG00000137161/ENSG00000160703/ENSG00000197329/ENSG00000171608/ENSG00000112851/ENSG00000015479/ENSG00000123609/ENSG00000163512/ENSG00000277224/ENSG00000215021/ENSG00000121057/ENSG00000119401/ENSG00000179295/ENSG00000163131/ENSG00000117450/ENSG00000173457/ENSG00000104365/ENSG00000239961/ENSG00000154124/ENSG00000163565/ENSG00000019582/ENSG00000129968/ENSG00000182866/ENSG00000273802/ENSG00000168495/ENSG00000117143/ENSG00000144381/ENSG00000185201/ENSG00000115091/ENSG00000204977/ENSG00000185880/ENSG00000156515/ENSG00000105426/ENSG00000186141/ENSG00000198001/ENSG00000089127/ENSG00000168028/ENSG00000131238/ENSG00000159840/ENSG00000126581/ENSG00000174953/ENSG00000107485/ENSG00000079246/ENSG00000162924/ENSG00000168884/ENSG00000105372/ENSG00000055917/ENSG00000171202/ENSG00000178927/ENSG00000213186/ENSG00000131408/ENSG00000211997/ENSG00000253729/ENSG00000241258/ENSG00000141510/ENSG00000173193/ENSG00000188313/ENSG00000197629/ENSG00000112561/ENSG00000115310/ENSG00000148180/ENSG00000102921/ENSG00000111331/ENSG00000151651/ENSG00000132274/ENSG00000156587/ENSG00000159256/ENSG00000166710/ENSG00000085449/ENSG00000135148/ENSG00000110330/ENSG00000126709/ENSG00000105851/ENSG00000184009/ENSG00000111335/ENSG00000153283/ENSG00000111981/ENSG00000165819/ENSG00000184678/ENSG00000207975/ENSG00000009790/ENSG00000125686/ENSG00000064012/ENSG00000105127/ENSG00000247315/ENSG00000204389/ENSG00000204592/ENSG00000138646/ENSG00000116514/ENSG00000136878/ENSG00000145675/ENSG00000113575/ENSG00000075240/ENSG00000114738/ENSG00000175354/ENSG00000141968/ENSG00000173039/ENSG00000204520/ENSG00000068903/ENSG00000116786/ENSG00000116584/ENSG00000278588/ENSG00000170581/ENSG00000109320/ENSG00000152778/ENSG00000126368/ENSG00000126775/ENSG00000135829/ENSG00000138071/ENSG00000007047/ENSG00000092929/ENSG00000013503
GO:0002181	cytoplasmic translation	141	0.4795812242534492	1.9467227607740636	2.1442082986624527e-7	2.3672059617233478e-4	1.9890353296803015e-4	2686	tags=43%, list=27%, signal=32%	ENSG00000177954/ENSG00000089157/ENSG00000122026/ENSG00000118181/ENSG00000105640/ENSG00000009307/ENSG00000134419/ENSG00000161016/ENSG00000108107/ENSG00000089009/ENSG00000161970/ENSG00000100129/ENSG00000139726/ENSG00000165525/ENSG00000105221/ENSG00000063177/ENSG00000108298/ENSG00000149273/ENSG00000083845/ENSG00000197958/ENSG00000115268/ENSG00000116251/ENSG00000145592/ENSG00000198755/ENSG00000170889/ENSG00000197756/ENSG00000163950/ENSG00000198793/ENSG00000142676/ENSG00000173933/ENSG00000136942/ENSG00000071082/ENSG00000138326/ENSG00000156482/ENSG00000168028/ENSG00000174953/ENSG00000105372/ENSG00000174748/ENSG00000147677/ENSG00000153187/ENSG00000115211/ENSG00000113742/ENSG00000172239/ENSG00000186468/ENSG00000198242/ENSG00000221983/ENSG00000137154/ENSG00000114867/ENSG00000165819/ENSG00000137449/ENSG00000100226/ENSG00000145191/ENSG00000137818/ENSG00000143486/ENSG00000229117/ENSG00000068438/ENSG00000102081/ENSG00000178982/ENSG00000138668/ENSG00000135829/ENSG00000100664
GO:0050776	regulation of immune response	499	0.35499704076824473	1.5528525761895646	7.487396775357783e-7	6.612868831995994e-4	5.55643655434446e-4	2398	tags=32%, list=24%, signal=25%	ENSG00000010810/ENSG00000121390/ENSG00000135334/ENSG00000010610/ENSG00000135870/ENSG00000005339/ENSG00000211896/ENSG00000166501/ENSG00000100393/ENSG00000004139/ENSG00000160710/ENSG00000121774/ENSG00000163519/ENSG00000145782/ENSG00000103653/ENSG00000169871/ENSG00000118503/ENSG00000134352/ENSG00000124201/ENSG00000239306/ENSG00000183918/ENSG00000105329/ENSG00000135426/ENSG00000092969/ENSG00000164924/ENSG00000198286/ENSG00000117280/ENSG00000197111/ENSG00000185728/ENSG00000108953/ENSG00000184584/ENSG00000105483/ENSG00000083799/ENSG00000100219/ENSG00000097007/ENSG00000087088/ENSG00000135046/ENSG00000144802/ENSG00000141480/ENSG00000196843/ENSG00000101695/ENSG00000159377/ENSG00000121060/ENSG00000170542/ENSG00000107738/ENSG00000176208/ENSG00000223865/ENSG00000051523/ENSG00000168685/ENSG00000149273/ENSG00000050748/ENSG00000126804/ENSG00000203879/ENSG00000077238/ENSG00000183624/ENSG00000162032/ENSG00000196419/ENSG00000166747/ENSG00000160703/ENSG00000197329/ENSG00000171608/ENSG00000112851/ENSG00000015479/ENSG00000123609/ENSG00000107338/ENSG00000215021/ENSG00000204267/ENSG00000133247/ENSG00000119401/ENSG00000179295/ENSG00000163131/ENSG00000176994/ENSG00000197471/ENSG00000104365/ENSG00000145632/ENSG00000239961/ENSG00000122188/ENSG00000154124/ENSG00000160685/ENSG00000163565/ENSG00000157764/ENSG00000019582/ENSG00000124181/ENSG00000112062/ENSG00000129968/ENSG00000123143/ENSG00000027075/ENSG00000182866/ENSG00000168495/ENSG00000144381/ENSG00000105426/ENSG00000186141/ENSG00000198001/ENSG00000089127/ENSG00000141867/ENSG00000131238/ENSG00000126581/ENSG00000198851/ENSG00000107485/ENSG00000119508/ENSG00000079246/ENSG00000168884/ENSG00000105372/ENSG00000028137/ENSG00000134215/ENSG00000140931/ENSG00000055917/ENSG00000171202/ENSG00000167664/ENSG00000100030/ENSG00000131408/ENSG00000121281/ENSG00000211997/ENSG00000253729/ENSG00000043462/ENSG00000166167/ENSG00000112679/ENSG00000173193/ENSG00000188313/ENSG00000110031/ENSG00000115211/ENSG00000211751/ENSG00000115310/ENSG00000163599/ENSG00000102921/ENSG00000111331/ENSG00000151651/ENSG00000130775/ENSG00000073861/ENSG00000165458/ENSG00000166710/ENSG00000107679/ENSG00000085449/ENSG00000162894/ENSG00000154710/ENSG00000135148/ENSG00000110330/ENSG00000110848/ENSG00000026950/ENSG00000153283/ENSG00000111981/ENSG00000166949/ENSG00000110066/ENSG00000165819/ENSG00000207975/ENSG00000009790/ENSG00000125686/ENSG00000064012/ENSG00000247315/ENSG00000116670/ENSG00000204389/ENSG00000196950/ENSG00000204592/ENSG00000145675/ENSG00000113575/ENSG00000075240/ENSG00000145191/ENSG00000114738/ENSG00000175354
GO:0050778	positive regulation of immune response	405	0.3650922770850751	1.5878715992046974	2.1061167762883024e-6	0.0015501019473481905	0.0013024669537572396	2491	tags=33%, list=25%, signal=26%	ENSG00000010810/ENSG00000121390/ENSG00000135334/ENSG00000010610/ENSG00000135870/ENSG00000005339/ENSG00000211896/ENSG00000166501/ENSG00000100393/ENSG00000004139/ENSG00000121774/ENSG00000163519/ENSG00000103653/ENSG00000169871/ENSG00000118503/ENSG00000134352/ENSG00000124201/ENSG00000239306/ENSG00000183918/ENSG00000105329/ENSG00000135426/ENSG00000092969/ENSG00000198286/ENSG00000117280/ENSG00000197111/ENSG00000108953/ENSG00000184584/ENSG00000105483/ENSG00000083799/ENSG00000100219/ENSG00000097007/ENSG00000087088/ENSG00000135046/ENSG00000144802/ENSG00000141480/ENSG00000196843/ENSG00000101695/ENSG00000121060/ENSG00000176208/ENSG00000223865/ENSG00000051523/ENSG00000149273/ENSG00000126804/ENSG00000203879/ENSG00000077238/ENSG00000183624/ENSG00000162032/ENSG00000196419/ENSG00000166747/ENSG00000160703/ENSG00000197329/ENSG00000171608/ENSG00000112851/ENSG00000015479/ENSG00000123609/ENSG00000107338/ENSG00000215021/ENSG00000204267/ENSG00000133247/ENSG00000119401/ENSG00000163131/ENSG00000104365/ENSG00000239961/ENSG00000122188/ENSG00000154124/ENSG00000163565/ENSG00000157764/ENSG00000019582/ENSG00000124181/ENSG00000129968/ENSG00000027075/ENSG00000182866/ENSG00000168495/ENSG00000144381/ENSG00000105426/ENSG00000186141/ENSG00000198001/ENSG00000089127/ENSG00000141867/ENSG00000131238/ENSG00000126581/ENSG00000198851/ENSG00000107485/ENSG00000119508/ENSG00000079246/ENSG00000168884/ENSG00000105372/ENSG00000134215/ENSG00000140931/ENSG00000055917/ENSG00000171202/ENSG00000167664/ENSG00000100030/ENSG00000211997/ENSG00000253729/ENSG00000043462/ENSG00000166167/ENSG00000112679/ENSG00000188313/ENSG00000110031/ENSG00000115211/ENSG00000211751/ENSG00000115310/ENSG00000163599/ENSG00000111331/ENSG00000151651/ENSG00000130775/ENSG00000073861/ENSG00000166710/ENSG00000107679/ENSG00000085449/ENSG00000162894/ENSG00000154710/ENSG00000110330/ENSG00000026950/ENSG00000111981/ENSG00000110066/ENSG00000009790/ENSG00000125686/ENSG00000247315/ENSG00000116670/ENSG00000204389/ENSG00000196950/ENSG00000204592/ENSG00000145675/ENSG00000113575/ENSG00000075240/ENSG00000145191/ENSG00000114738/ENSG00000175354/ENSG00000141968/ENSG00000173039/ENSG00000204520/ENSG00000068903
GO:0033157	regulation of intracellular protein transport	85	0.5165836640443465	1.9854903489012874	5.518591389070318e-6	0.0032428887338148806	0.0027248242721914224	1358	tags=33%, list=14%, signal=29%	ENSG00000100393/ENSG00000104904/ENSG00000077463/ENSG00000105329/ENSG00000132341/ENSG00000117280/ENSG00000108953/ENSG00000100219/ENSG00000130726/ENSG00000067066/ENSG00000164151/ENSG00000120686/ENSG00000220205/ENSG00000196712/ENSG00000100614/ENSG00000136167/ENSG00000180353/ENSG00000179295/ENSG00000100401/ENSG00000112062/ENSG00000047410/ENSG00000068400/ENSG00000112697/ENSG00000125991/ENSG00000139496/ENSG00000160299/ENSG00000173801/ENSG00000135272
GO:0048511	rhythmic process	141	0.45023863807418824	1.8276149277598295	6.129996858688677e-6	0.0032428887338148806	0.0027248242721914224	2783	tags=45%, list=28%, signal=33%	ENSG00000121390/ENSG00000005339/ENSG00000139842/ENSG00000100393/ENSG00000185591/ENSG00000132646/ENSG00000179388/ENSG00000114416/ENSG00000171862/ENSG00000196498/ENSG00000164867/ENSG00000121671/ENSG00000077463/ENSG00000107290/ENSG00000139180/ENSG00000092969/ENSG00000077150/ENSG00000105835/ENSG00000180530/ENSG00000087245/ENSG00000213639/ENSG00000120738/ENSG00000136352/ENSG00000101266/ENSG00000050748/ENSG00000148400/ENSG00000141551/ENSG00000196591/ENSG00000198793/ENSG00000088256/ENSG00000173933/ENSG00000005810/ENSG00000122565/ENSG00000118260/ENSG00000186951/ENSG00000119138/ENSG00000140836/ENSG00000253729/ENSG00000166167/ENSG00000153187/ENSG00000141510/ENSG00000124486/ENSG00000104918/ENSG00000178035/ENSG00000108654/ENSG00000107679/ENSG00000036672/ENSG00000100104/ENSG00000152413/ENSG00000183826/ENSG00000165819/ENSG00000054118/ENSG00000176749/ENSG00000105662/ENSG00000104164/ENSG00000138668/ENSG00000173120/ENSG00000126012/ENSG00000126368/ENSG00000135829/ENSG00000120948/ENSG00000143365/ENSG00000116478
GO:0034504	protein localization to nucleus	199	0.41364268149083405	1.7275365601688228	6.609148234677066e-6	0.0032428887338148806	0.0027248242721914224	2455	tags=37%, list=25%, signal=29%	ENSG00000010810/ENSG00000135334/ENSG00000005339/ENSG00000265972/ENSG00000100393/ENSG00000160710/ENSG00000093000/ENSG00000162434/ENSG00000121671/ENSG00000171206/ENSG00000077463/ENSG00000105329/ENSG00000164924/ENSG00000132341/ENSG00000108953/ENSG00000108424/ENSG00000141499/ENSG00000136827/ENSG00000006712/ENSG00000100219/ENSG00000130726/ENSG00000067066/ENSG00000120686/ENSG00000117597/ENSG00000151876/ENSG00000064687/ENSG00000091039/ENSG00000072736/ENSG00000196712/ENSG00000148400/ENSG00000143337/ENSG00000213024/ENSG00000180353/ENSG00000215021/ENSG00000146834/ENSG00000198793/ENSG00000100401/ENSG00000153487/ENSG00000142676/ENSG00000112062/ENSG00000047410/ENSG00000108559/ENSG00000139496/ENSG00000179218/ENSG00000129197/ENSG00000163468/ENSG00000173801/ENSG00000135624/ENSG00000135272/ENSG00000186432/ENSG00000126883/ENSG00000156261/ENSG00000100242/ENSG00000117408/ENSG00000153187/ENSG00000141510/ENSG00000196313/ENSG00000159256/ENSG00000113558/ENSG00000138814/ENSG00000115484/ENSG00000120709/ENSG00000186575/ENSG00000131018/ENSG00000166949/ENSG00000150753/ENSG00000102898/ENSG00000125686/ENSG00000109917/ENSG00000184900/ENSG00000145675/ENSG00000189319/ENSG00000133704/ENSG00000136936
GO:0034097	response to cytokine	489	0.34521474439735184	1.5074958581381714	7.6179231158970744e-6	0.0033640748479801482	0.0028266504193197044	3391	tags=43%, list=34%, signal=30%	ENSG00000010610/ENSG00000135870/ENSG00000160710/ENSG00000148154/ENSG00000101654/ENSG00000144580/ENSG00000137845/ENSG00000124635/ENSG00000049245/ENSG00000116266/ENSG00000162434/ENSG00000141646/ENSG00000169871/ENSG00000118503/ENSG00000134352/ENSG00000167552/ENSG00000077150/ENSG00000172349/ENSG00000100811/ENSG00000185728/ENSG00000184584/ENSG00000105483/ENSG00000026508/ENSG00000083799/ENSG00000087245/ENSG00000081059/ENSG00000154229/ENSG00000100219/ENSG00000044574/ENSG00000120738/ENSG00000119318/ENSG00000144802/ENSG00000067066/ENSG00000188404/ENSG00000026025/ENSG00000115232/ENSG00000101695/ENSG00000121060/ENSG00000107099/ENSG00000245848/ENSG00000115415/ENSG00000174231/ENSG00000169756/ENSG00000104964/ENSG00000168685/ENSG00000110955/ENSG00000106829/ENSG00000149273/ENSG00000131979/ENSG00000135144/ENSG00000160791/ENSG00000077238/ENSG00000136560/ENSG00000148400/ENSG00000187266/ENSG00000166272/ENSG00000168906/ENSG00000112851/ENSG00000163512/ENSG00000180353/ENSG00000163349/ENSG00000119401/ENSG00000179295/ENSG00000155313/ENSG00000171552/ENSG00000104365/ENSG00000239961/ENSG00000138795/ENSG00000154124/ENSG00000163565/ENSG00000019582/ENSG00000064651/ENSG00000112062/ENSG00000047410/ENSG00000130592/ENSG00000144381/ENSG00000132507/ENSG00000185201/ENSG00000116161/ENSG00000115091/ENSG00000207971/ENSG00000064932/ENSG00000100385/ENSG00000198001/ENSG00000089127/ENSG00000182621/ENSG00000159840/ENSG00000100417/ENSG00000130402/ENSG00000107485/ENSG00000079246/ENSG00000162924/ENSG00000107742/ENSG00000168884/ENSG00000028137/ENSG00000138378/ENSG00000123360/ENSG00000118260/ENSG00000100030/ENSG00000114737/ENSG00000131408/ENSG00000105229/ENSG00000163558/ENSG00000153187/ENSG00000172819/ENSG00000141510/ENSG00000173193/ENSG00000170340/ENSG00000188313/ENSG00000244038/ENSG00000148180/ENSG00000123416/ENSG00000111331/ENSG00000136826/ENSG00000178035/ENSG00000116747/ENSG00000168439/ENSG00000056558/ENSG00000134460/ENSG00000154710/ENSG00000110330/ENSG00000185187/ENSG00000177000/ENSG00000184009/ENSG00000086666/ENSG00000111335/ENSG00000186810/ENSG00000111913/ENSG00000165819/ENSG00000207975/ENSG00000125686/ENSG00000064012/ENSG00000204389/ENSG00000131196/ENSG00000163702/ENSG00000145675/ENSG00000102575/ENSG00000136141/ENSG00000114738/ENSG00000175354/ENSG00000176974/ENSG00000173039/ENSG00000110324/ENSG00000128016/ENSG00000125148/ENSG00000169047/ENSG00000016402/ENSG00000116584/ENSG00000207947/ENSG00000171791/ENSG00000170581/ENSG00000208009/ENSG00000109320/ENSG00000172939/ENSG00000126368/ENSG00000163701/ENSG00000135829/ENSG00000138071/ENSG00000214078/ENSG00000185338/ENSG00000131724/ENSG00000205542/ENSG00000111679/ENSG00000167004/ENSG00000157500/ENSG00000136699/ENSG00000185650/ENSG00000168610/ENSG00000102908/ENSG00000168329/ENSG00000197442/ENSG00000104695/ENSG00000164305/ENSG00000054598/ENSG00000196396/ENSG00000110876/ENSG00000154451/ENSG00000132109/ENSG00000125352/ENSG00000185507/ENSG00000171135/ENSG00000141655/ENSG00000115548/ENSG00000173757/ENSG00000125347/ENSG00000207954/ENSG00000120129/ENSG00000152223/ENSG00000078140/ENSG00000067182/ENSG00000207611/ENSG00000137801/ENSG00000129235/ENSG00000163874/ENSG00000117228/ENSG00000142192/ENSG00000068001/ENSG00000150347/ENSG00000081237/ENSG00000135341/ENSG00000138617/ENSG00000142166/ENSG00000101057/ENSG00000174840/ENSG00000100889/ENSG00000142208/ENSG00000198668/ENSG00000060237/ENSG00000183486/ENSG00000120899
