query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	highlighted
query_1	TRUE	1.3174068286337909e-129	7158	7681	3431	0.44668662934513736	0.47932383347303714	GO:0019222	GO:BP	regulation of metabolic process	21031	5789		TRUE
query_1	TRUE	1.8648872814333798e-125	6631	7681	3211	0.41804452545241505	0.48424068767908307	GO:0060255	GO:BP	regulation of macromolecule metabolic process	21031	14938		FALSE
query_1	TRUE	1.2552712697163207e-111	5440	7681	2691	0.35034500716052597	0.49466911764705884	GO:0051171	GO:BP	regulation of nitrogen compound metabolic process	21031	13995		FALSE
query_1	TRUE	1.2599462696153663e-111	6673	7681	3183	0.4143991667751595	0.4769968529896598	GO:0031323	GO:BP	regulation of cellular metabolic process	21031	7372		FALSE
query_1	TRUE	4.986439560336471e-110	5591	7681	2747	0.3576357245150371	0.4913253443033447	GO:0080090	GO:BP	regulation of primary metabolic process	21031	18320		FALSE
query_1	TRUE	2.910669399067792e-107	4912	7681	2462	0.32053118083582866	0.50122149837133545	GO:0019538	GO:BP	protein metabolic process	21031	6075		FALSE
query_1	TRUE	1.6051473169184287e-97	4836	7681	2400	0.3124593151933342	0.49627791563275436	GO:0044271	GO:BP	cellular nitrogen compound biosynthetic process	21031	11312		FALSE
query_1	TRUE	7.838542970298927e-95	5654	7681	2722	0.3543809399817732	0.48142907675981605	GO:0010556	GO:BP	regulation of macromolecule biosynthetic process	21031	4258		FALSE
query_1	TRUE	2.497469026825973e-94	5781	7681	2771	0.3607603176669704	0.4793288358415499	GO:0031326	GO:BP	regulation of cellular biosynthetic process	21031	7375		FALSE
query_1	TRUE	3.639377445233721e-94	5986	7681	2852	0.37130581955474545	0.47644503842298697	GO:1901564	GO:BP	organonitrogen compound metabolic process	21031	22098		FALSE
query_1	TRUE	4.1273345062414144e-94	5813	7681	2783	0.3623226142429371	0.4787545157405815	GO:0009889	GO:BP	regulation of biosynthetic process	21031	3787		FALSE
query_1	TRUE	5.035591494377739e-88	5526	7681	2647	0.3446165863819815	0.47900832428519724	GO:0010468	GO:BP	regulation of gene expression	21031	4208		FALSE
query_1	TRUE	3.82174466372761e-82	14261	7681	5839	0.760187475589116	0.4094383283079728	GO:0008152	GO:BP	metabolic process	21031	3159		FALSE
query_1	TRUE	4.787401671596705e-81	5874	7681	2760	0.3593282124723343	0.4698672114402451	GO:0048519	GO:BP	negative regulation of biological process	21031	13227		FALSE
query_1	TRUE	6.166476144546743e-81	3001	7681	1579	0.2055721911209478	0.5261579473508831	GO:0051173	GO:BP	positive regulation of nitrogen compound metabolic process	21031	13997		FALSE
