GO.ID	term	gProfiler.p_value	clustProfiler.p_value	topGO.p_value	significant_count	included_count
GO:0019222	regulation of metabolic process	1.3174068286337906e-129	NA	0.95463	2	2
GO:0060255	regulation of macromolecule metabolic process	1.86488728143338e-125	NA	NA	1	1
GO:0051171	regulation of nitrogen compound metabolic process	1.2552712697163207e-111	NA	NA	1	1
GO:0031323	regulation of cellular metabolic process	1.2599462696153663e-111	NA	1	2	2
GO:0080090	regulation of primary metabolic process	4.986439560336471e-110	NA	1	2	2
GO:0019538	protein metabolic process	2.910669399067792e-107	NA	0.94595	2	2
GO:0044271	cellular nitrogen compound biosynthetic process	1.6051473169184287e-97	NA	NA	1	1
GO:0010556	regulation of macromolecule biosynthetic process	7.838542970298927e-95	NA	NA	1	1
GO:0031326	regulation of cellular biosynthetic process	2.4974690268259725e-94	NA	NA	1	1
GO:1901564	organonitrogen compound metabolic process	3.6393774452337203e-94	NA	NA	1	1
GO:0009889	regulation of biosynthetic process	4.1273345062414144e-94	NA	1	2	2
GO:0010468	regulation of gene expression	5.035591494377738e-88	NA	0.48113	2	2
GO:0008152	metabolic process	3.82174466372761e-82	NA	1	2	2
GO:0048519	negative regulation of biological process	4.787401671596705e-81	NA	NA	1	1
GO:0051173	positive regulation of nitrogen compound metabolic process	6.1664761445467425e-81	NA	NA	1	1
GO:0048523	negative regulation of cellular process	9.095394299645936e-80	NA	1	2	2
GO:0009892	negative regulation of metabolic process	1.6682685448958716e-78	NA	1	2	2
GO:0010604	positive regulation of macromolecule metabolic process	8.326401758250549e-78	NA	NA	1	1
GO:0009893	positive regulation of metabolic process	1.0064781680767633e-77	NA	0.35165	2	2
GO:0019219	regulation of nucleobase-containing compound metabolic process	7.493990895595034e-74	NA	NA	1	1
GO:0010605	negative regulation of macromolecule metabolic process	1.827630386946683e-73	NA	NA	1	1
GO:0009057	macromolecule catabolic process	4.5040977482529e-72	NA	1	2	2
GO:0071704	organic substance metabolic process	3.538588435301686e-71	NA	NA	1	1
GO:0043170	macromolecule metabolic process	1.9396193016384262e-70	NA	1	2	2
GO:0031324	negative regulation of cellular metabolic process	9.66555080890868e-70	NA	NA	1	1
GO:0048518	positive regulation of biological process	1.1328793794289269e-68	NA	NA	1	1
GO:0051252	regulation of RNA metabolic process	2.539274138268797e-65	NA	0.35588	2	2
GO:0048522	positive regulation of cellular process	2.640153155754468e-65	NA	1	2	2
GO:0033554	cellular response to stress	3.107909390066576e-64	NA	1	2	2
GO:0044237	cellular metabolic process	6.342129231390261e-64	NA	1	2	2
GO:0009056	catabolic process	9.328304659499578e-64	NA	0.81709	2	2
GO:0018130	heterocycle biosynthetic process	2.6812384451429596e-63	NA	NA	1	1
GO:0065007	biological regulation	3.670849148452221e-63	NA	1	2	2
GO:0031325	positive regulation of cellular metabolic process	7.671349489911795e-63	NA	NA	1	1
GO:0034654	nucleobase-containing compound biosynthetic process	9.807463118780266e-63	NA	NA	1	1
GO:0050794	regulation of cellular process	1.6630711301159962e-62	NA	1	2	2
GO:0046907	intracellular transport	3.209895902887835e-62	NA	0.25752	2	2
GO:0019438	aromatic compound biosynthetic process	4.102947635991729e-62	NA	NA	1	1
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	1.0083405755097503e-61	NA	NA	1	1
GO:0043412	macromolecule modification	1.359081168553849e-60	NA	1	2	2
GO:1901362	organic cyclic compound biosynthetic process	1.6668211939101802e-60	NA	NA	1	1
GO:0050789	regulation of biological process	2.8733627227984514e-60	NA	1	2	2
