GO.ID	Term	Annotated	Significant	Expected	Rank in weightFisher	classicFisher	weightFisher	p.adj
GO:0045944	positive regulation of transcription by ...	1252	651	478.4	2	1.1e-24	2.9e-20	0
GO:0045893	positive regulation of DNA-templated tra...	1689	908	645.39	3	< 1e-30	2.0e-18	0
GO:0043161	proteasome-mediated ubiquitin-dependent ...	412	277	157.43	4	< 1e-30	2.2e-17	0
GO:0000122	negative regulation of transcription by ...	936	479	357.66	5	1.1e-16	3.0e-16	0
GO:0006396	RNA processing	2658	951	1015.65	6	0.99748	1.1e-15	0
GO:0050821	protein stabilization	223	142	85.21	7	9.4e-15	8.0e-15	0
GO:0006338	chromatin remodeling	690	431	263.66	8	< 1e-30	1.9e-14	0
GO:0006511	ubiquitin-dependent protein catabolic pr...	617	409	235.76	9	< 1e-30	2.1e-14	0
GO:0015031	protein transport	1431	779	546.8	10	< 1e-30	2.4e-14	0
GO:0006974	DNA damage response	910	536	347.72	11	< 1e-30	2.9e-12	0
GO:0035195	miRNA-mediated post-transcriptional gene...	555	302	212.07	12	3.2e-15	8.0e-12	0
GO:0006334	nucleosome assembly	111	77	42.41	13	2.6e-11	2.3e-11	0
GO:0070936	protein K48-linked ubiquitination	99	73	37.83	14	6.7e-13	3.1e-11	0
GO:0006886	intracellular protein transport	683	403	260.98	15	4.0e-29	2.8e-10	0
GO:0006325	chromatin organization	841	527	321.36	16	< 1e-30	5.7e-10	0
GO:0051726	regulation of cell cycle	1099	596	419.94	17	1.3e-28	1.6e-09	0
GO:0016567	protein ubiquitination	760	457	290.4	18	< 1e-30	1.1e-08	0
GO:0000209	protein polyubiquitination	279	185	106.61	19	1.1e-21	2.1e-08	0
GO:0051301	cell division	652	332	249.14	20	1.4e-11	2.3e-08	0
GO:0031648	protein destabilization	51	39	19.49	21	2.9e-08	2.8e-08	0
GO:0006606	protein import into nucleus	166	106	63.43	22	1.7e-11	3.1e-08	0
GO:0018105	peptidyl-serine phosphorylation	174	107	66.49	23	3.7e-10	5.8e-08	0
GO:0050852	T cell receptor signaling pathway	140	98	53.5	24	2.1e-14	6.3e-08	0
GO:0006446	regulation of translational initiation	83	60	31.72	25	2.9e-10	6.3e-08	0
GO:0034198	cellular response to amino acid starvati...	52	42	19.87	26	4.0e-10	7.4e-08	0
GO:0043484	regulation of RNA splicing	186	129	71.07	27	5.5e-18	2.2e-07	1e-4
GO:0031647	regulation of protein stability	332	222	126.86	28	1.6e-26	2.6e-07	1e-4
GO:0042147	retrograde transport, endosome to Golgi	103	72	39.36	29	6.5e-11	2.7e-07	1e-4
GO:0008150	biological_process	19709	7536	7531.04	30	0.08814	2.8e-07	1e-4
GO:0031398	positive regulation of protein ubiquitin...	107	74	40.89	31	7.9e-11	3.1e-07	2e-4
GO:0043123	positive regulation of canonical NF-kapp...	213	117	81.39	32	4.9e-07	4.4e-07	2e-4
GO:0006888	endoplasmic reticulum to Golgi vesicle-m...	132	91	50.44	33	7.3e-13	5.1e-07	2e-4
GO:0032436	positive regulation of proteasomal ubiqu...	81	53	30.95	34	6.2e-07	5.3e-07	2e-4
GO:0036503	ERAD pathway	109	76	41.65	35	2.3e-11	8.6e-07	4e-4
GO:0051028	mRNA transport	129	87	49.29	36	1.5e-11	9.4e-07	4e-4
GO:0007346	regulation of mitotic cell cycle	504	280	192.58	37	1.0e-15	1.1e-06	5e-4
GO:0000045	autophagosome assembly	118	78	45.09	38	7.3e-10	1.3e-06	5e-4
GO:0032456	endocytic recycling	85	54	32.48	39	1.9e-06	1.4e-06	5e-4
GO:0006890	retrograde vesicle-mediated transport, G...	54	39	20.63	40	4.0e-07	1.4e-06	5e-4
GO:0034063	stress granule assembly	34	28	12.99	41	1.7e-07	1.9e-06	7e-4
GO:0038061	non-canonical NF-kappaB signal transduct...	122	66	46.62	42	0.00026	2.1e-06	8e-4
GO:0006364	rRNA processing	223	136	85.21	43	3.9e-12	2.7e-06	0.001
GO:0031507	heterochromatin formation	154	102	58.85	44	1.5e-12	2.9e-06	0.001
GO:0006281	DNA repair	613	346	234.23	45	1.3e-20	3.0e-06	0.001
GO:0010458	exit from mitosis	31	22	11.85	46	0.00022	3.6e-06	0.0012
GO:0045727	positive regulation of translation	137	91	52.35	47	1.9e-11	4.1e-06	0.0014
GO:0045892	negative regulation of DNA-templated tra...	1277	653	487.96	48	2.2e-22	4.8e-06	0.0016
GO:0001732	formation of cytoplasmic translation ini...	16	15	6.11	49	5.5e-06	5.4e-06	0.0017
GO:0032092	positive regulation of protein binding	49	35	18.72	50	2.4e-06	5.5e-06	0.0017
GO:0032743	positive regulation of interleukin-2 pro...	34	26	12.99	51	6.3e-06	6.1e-06	0.0019
GO:0032200	telomere organization	191	130	72.98	52	4.7e-17	6.6e-06	0.002
GO:0032212	positive regulation of telomere maintena...	24	20	9.17	53	7.6e-06	7.4e-06	0.0022
GO:0016241	regulation of macroautophagy	184	124	70.31	54	8.2e-16	7.9e-06	0.0023
GO:2000045	regulation of G1/S transition of mitotic...	165	103	63.05	55	2.3e-10	8.3e-06	0.0024
GO:0033077	T cell differentiation in thymus	89	60	34.01	56	2.2e-08	9.3e-06	0.0026
GO:0140627	ubiquitin-dependent protein catabolic pr...	12	12	4.59	57	9.6e-06	9.4e-06	0.0026
GO:0019082	viral protein processing	31	24	11.85	58	1.0e-05	9.7e-06	0.0026
GO:0051085	chaperone cofactor-dependent protein ref...	31	24	11.85	59	1.0e-05	9.7e-06	0.0026
GO:1904263	positive regulation of TORC1 signaling	53	36	20.25	60	1.1e-05	1.1e-05	0.0029
GO:0000724	double-strand break repair via homologou...	188	112	71.84	61	2.1e-09	1.3e-05	0.0032
GO:0051092	positive regulation of NF-kappaB transcr...	120	69	45.85	62	1.4e-05	1.3e-05	0.0032
GO:0051898	negative regulation of phosphatidylinosi...	61	40	23.31	63	1.3e-05	1.3e-05	0.0032
GO:1900034	regulation of cellular response to heat	16	15	6.11	64	5.5e-06	1.3e-05	0.0032
GO:0001701	in utero embryonic development	412	208	157.43	65	2.1e-07	1.4e-05	0.0034
GO:0051056	regulation of small GTPase mediated sign...	305	165	116.54	66	1.0e-08	1.7e-05	0.0039
GO:0042274	ribosomal small subunit biogenesis	102	65	38.98	67	1.5e-07	1.7e-05	0.0039
GO:0006406	mRNA export from nucleus	70	46	26.75	68	2.8e-06	2.0e-05	0.0046
GO:0045732	positive regulation of protein catabolic...	209	130	79.86	69	1.5e-12	2.1e-05	0.0047
GO:2000736	regulation of stem cell differentiation	80	50	30.57	70	9.1e-06	2.2e-05	0.0048
GO:0007030	Golgi organization	153	93	58.46	71	1.2e-08	2.2e-05	0.0048
GO:0090148	membrane fission	45	32	17.2	72	7.6e-06	2.3e-05	0.005
GO:1903955	positive regulation of protein targeting...	32	24	12.23	73	2.6e-05	2.5e-05	0.0053
GO:0071364	cellular response to epidermal growth fa...	43	30	16.43	74	2.7e-05	2.6e-05	0.0055
GO:1904262	negative regulation of TORC1 signaling	47	32	17.96	75	3.2e-05	3.0e-05	0.0062
GO:0043066	negative regulation of apoptotic process	879	430	335.88	76	2.6e-11	3.1e-05	0.0063
GO:0035970	peptidyl-threonine dephosphorylation	14	13	5.35	77	3.3e-05	3.3e-05	0.0067
GO:0000398	mRNA splicing, via spliceosome	1540	306	588.45	78	1.00000	3.4e-05	0.0068
GO:0051607	defense response to virus	319	177	121.89	79	2.2e-10	3.8e-05	0.0075
GO:0007040	lysosome organization	113	71	43.18	80	9.5e-08	4.2e-05	0.0081
GO:0045653	negative regulation of megakaryocyte dif...	19	16	7.26	81	5.2e-05	5.1e-05	0.0095
GO:0045945	positive regulation of transcription by ...	19	16	7.26	82	5.2e-05	5.1e-05	0.0095
GO:0050862	positive regulation of T cell receptor s...	19	16	7.26	83	5.2e-05	5.1e-05	0.0095
GO:1902459	positive regulation of stem cell populat...	48	32	18.34	84	6.0e-05	5.5e-05	0.01
GO:0042149	cellular response to glucose starvation	46	31	17.58	85	5.7e-05	5.5e-05	0.01
GO:0032968	positive regulation of transcription elo...	50	33	19.11	86	6.3e-05	6.0e-05	0.0108
GO:0043124	negative regulation of canonical NF-kapp...	60	38	22.93	87	7.0e-05	6.7e-05	0.0119
GO:0030217	T cell differentiation	318	195	121.51	88	3.8e-17	7.0e-05	0.0123
GO:0032435	negative regulation of proteasomal ubiqu...	38	27	14.52	89	4.1e-05	7.4e-05	0.0129
GO:0070498	interleukin-1-mediated signaling pathway	31	21	11.85	90	0.00082	7.7e-05	0.0133
GO:0033120	positive regulation of RNA splicing	49	31	18.72	91	0.00033	7.9e-05	0.0133
GO:0030970	retrograde protein transport, ER to cyto...	28	20	10.7	92	0.00037	7.9e-05	0.0133
GO:0009615	response to virus	413	235	157.81	93	6.2e-15	9.1e-05	0.0152
GO:0017148	negative regulation of translation	132	84	50.44	94	2.7e-09	9.2e-05	0.0152
GO:0072344	rescue of stalled ribosome	34	26	12.99	95	6.3e-06	9.6e-05	0.0156
GO:0045648	positive regulation of erythrocyte diffe...	30	22	11.46	96	1.0e-04	9.7e-05	0.0156
GO:0042789	mRNA transcription by RNA polymerase II	47	31	17.96	97	0.00011	0.00010	0.0158
GO:0008361	regulation of cell size	183	87	69.93	98	0.00607	0.00010	0.0158
GO:0008286	insulin receptor signaling pathway	124	78	47.38	99	2.1e-08	0.00011	0.0165
GO:0010507	negative regulation of autophagy	92	60	35.15	100	1.4e-07	0.00011	0.0165
GO:0000381	regulation of alternative mRNA splicing,...	55	35	21.02	101	0.00012	0.00011	0.0165
GO:0035278	miRNA-mediated gene silencing by inhibit...	18	15	6.88	102	0.00012	0.00011	0.0165
GO:0061644	protein localization to CENP-A containin...	18	15	6.88	103	0.00012	0.00011	0.0165
GO:0006891	intra-Golgi vesicle-mediated transport	35	26	13.37	104	1.6e-05	0.00013	0.019
GO:0001782	B cell homeostasis	33	25	12.61	105	1.3e-05	0.00013	0.019
GO:1903241	U2-type prespliceosome assembly	25	19	9.55	106	0.00014	0.00013	0.019
GO:0002218	activation of innate immune response	303	170	115.78	107	1.6e-10	0.00015	0.0217
GO:2000134	negative regulation of G1/S transition o...	73	47	27.89	108	5.2e-06	0.00016	0.0227
GO:0016925	protein sumoylation	67	43	25.6	109	1.5e-05	0.00016	0.0227
GO:0006986	response to unfolded protein	140	95	53.5	110	1.0e-12	0.00017	0.0228
GO:0008380	RNA splicing	1684	403	643.48	111	1.00000	0.00017	0.0228
