Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000207548	9.980997117936859	-4.042413024192018	0.4810982985822943	2.190333159668086e-18	1.8394417874892587e-14	TRUE
ENSG00000152291	7.905169050288801	3.437087558158792	0.4506026403141267	1.4948253780424897e-15	6.276771762400414e-12	TRUE
ENSG00000121390	9.094914488552261	3.646882398822608	0.4821250712979766	2.3065948404975012e-15	6.4569278234993385e-12	TRUE
ENSG00000010810	9.465002298835081	3.7021453145281655	0.5017552125438766	9.260068027085326e-15	1.9441512822865644e-11	TRUE
ENSG00000078814	7.69982705684868	-3.622058166240093	0.49394482947951585	1.1892755950010384e-14	1.997507289363744e-11	TRUE
ENSG00000130226	9.101734579010568	-3.642259855818244	0.501709362381337	2.1543151419690438e-14	3.0153230937093384e-11	TRUE
ENSG00000133114	8.480803612569133	1.6101205693654668	0.47062488087460885	8.845348262035486e-14	1.0611890672082002e-10	TRUE
ENSG00000127481	6.418678157846918	3.102842815927417	0.449836092837431	3.435441654206554e-13	3.205648779114071e-10	TRUE
ENSG00000198973	7.123413909587556	-3.231284628307482	0.4686426419025683	3.147811184543198e-13	3.205648779114071e-10	TRUE
ENSG00000229719	7.665830997770479	-3.230891194484696	0.4862561561182825	1.718142774307594e-12	1.4428963018635175e-9	TRUE
ENSG00000005844	6.2795269942643515	3.064247782599439	0.46099050148273085	1.943651905862475e-12	1.4838898823120968e-9	TRUE
ENSG00000135334	6.978853132343759	3.215093665328194	0.49231527150699655	3.876919124611251e-12	2.7131972340404406e-9	TRUE
ENSG00000010610	7.640610328556116	2.9502007399365144	0.4586710386857886	7.968193100163997e-12	5.147452742705942e-9	TRUE
ENSG00000099783	6.106261385332179	3.0114280160181575	0.4696252656060114	9.101350191482098e-12	5.459509922004762e-9	TRUE
ENSG00000111144	5.936248290924354	2.9667773911871818	0.46369516852373616	1.0072650214557366e-11	5.6393411001235175e-9	TRUE
ENSG00000139644	5.777019678071844	2.9181671293939946	0.46773061024528934	2.795690037346153e-11	1.467387808352062e-8	TRUE
ENSG00000142227	6.299832100704052	3.0551224229259177	0.4925977514867687	3.489311607288297e-11	1.7237199340004188e-8	TRUE
ENSG00000114857	6.530283920939808	3.1002064712925126	0.5044971999183937	4.7053160228164553e-11	2.1952913310895883e-8	TRUE
ENSG00000169564	4.98258712260348	2.6869350251770627	0.4423547436019396	8.632757794971661e-11	3.6248949981086e-8	TRUE
ENSG00000173020	5.677278934695037	1.4798845609039133	0.449246135338392	8.546662733945552e-11	3.6248949981086e-8	TRUE
ENSG00000273476	6.456534142212433	-2.8915027210441777	0.48084699845283235	1.0926570007167012e-10	4.369587377151837e-8	TRUE
ENSG00000261150	4.8461333636244754	2.636571891786144	0.4397057603345911	1.384543136544416e-10	5.285178754863639e-8	TRUE
ENSG00000181929	5.132892304015371	2.7231457643567594	0.46316680477179056	2.704735647752148e-10	9.464320820759393e-8	TRUE
ENSG00000125746	5.587229726567378	-2.7852311126626286	0.47383063448475904	2.6247290995927543e-10	9.464320820759393e-8	TRUE
ENSG00000135924	5.005548019910968	2.6828903845098617	0.45683391696574616	2.843514207158783e-10	9.551932924687785e-8	TRUE
ENSG00000118922	6.041282383484766	2.5928708720571194	0.44560063049834175	3.955978250807398e-10	1.2777809750107897e-7	TRUE
ENSG00000140575	5.086472085804849	0.9283512464309743	0.43466557844255377	4.761957514648298e-10	1.4811451558524594e-7	TRUE
ENSG00000055163	4.597659301747823	2.547940998985931	0.4434769558631875	6.42389410691046e-10	1.926709382494073e-7	TRUE
ENSG00000172183	4.662156251043891	2.5689195065677777	0.44845124268468045	7.010465695116173e-10	2.0301341692270903e-7	TRUE
ENSG00000072958	4.227177359387856	2.4210518870349444	0.42259102217197886	7.71306976355653e-10	2.146201688664562e-7	TRUE
ENSG00000228716	5.204868392802182	1.3072306938198344	0.45374229688974027	7.92239251590872e-10	2.146201688664562e-7	TRUE
ENSG00000186635	4.838512981986317	2.623227648866866	0.46590472534375676	1.2033738821892882e-9	3.1581043320705133e-7	TRUE
ENSG00000005339	6.22867482700002	2.659362651546261	0.4743863313794755	1.2955605400499623e-9	3.272586509444758e-7	TRUE
ENSG00000149792	5.288345943792728	1.459674737754576	0.46911521457905225	1.3249338094918047e-9	3.272586509444758e-7	TRUE
ENSG00000136450	4.484103491570521	2.5051216599575277	0.4464419755938953	1.4195780503561114e-9	3.406176133397321e-7	TRUE
ENSG00000206948	7.18350649259833	2.5721472235110157	0.4609597441450728	1.5403615123723508e-9	3.593321105806389e-7	TRUE
ENSG00000119383	4.804230712792958	2.6132274939904203	0.4701974126660743	1.8553421688025327e-9	4.2111252793523433e-7	TRUE
ENSG00000266709	5.177769528097987	2.7181234940391112	0.4919735775472803	2.047656993410553e-9	4.2990558576654554e-7	TRUE
ENSG00000177954	11.846222988848838	2.6047750848764655	0.47160802679129166	2.012595505640422e-9	4.2990558576654554e-7	TRUE
ENSG00000090615	4.608654832861452	2.5425271705350805	0.458621650246888	2.014765955725841e-9	4.2990558576654554e-7	TRUE
ENSG00000204264	4.226494318219121	2.4146780370191303	0.43637745246335813	2.3529514647487406e-9	4.819533268526811e-7	TRUE
ENSG00000163644	4.079707000413412	2.358397282490596	0.4265751335469575	2.485925245865451e-9	4.9706667178043e-7	TRUE
ENSG00000100351	4.12997501069504	2.3699959640989823	0.4312707182022406	2.8897737106412095e-9	5.643795260922064e-7	TRUE
ENSG00000002834	5.823976176013818	2.490147336299148	0.45625994367320105	3.2132683985239433e-9	6.132960911546381e-7	TRUE
ENSG00000160710	4.034203564033888	2.337338038010998	0.42794325038801345	3.627392500722835e-9	6.769520493571193e-7	TRUE
ENSG00000120727	8.370182851809322	2.7776137505928267	0.5139008264550404	3.83495011188796e-9	7.001285008616323e-7	TRUE
ENSG00000152242	4.362793332815054	2.458800575953649	0.4535841384627209	4.2632151026495345e-9	7.617549028095913e-7	TRUE
ENSG00000166501	4.327601846303268	2.4400640264800546	0.4511673713700824	4.49635101838742e-9	7.86674080258699e-7	TRUE
ENSG00000102805	4.068468169852184	2.3463694029006765	0.43413390938543567	4.887739452089574e-9	8.110889031157838e-7	TRUE
ENSG00000169139	4.472174741167817	1.2403691797623522	0.4331812652057209	4.7345523963728696e-9	8.110889031157838e-7	TRUE
